iter	MultiClass
0	1.026021253
1	0.9445611212
2	0.8890246883
3	0.8274076762
4	0.7761126555
5	0.7270715569
6	0.6948060043
7	0.658763763
8	0.6272814796
9	0.5958486717
10	0.5732430426
11	0.5474322278
12	0.5259564298
13	0.5078521632
14	0.4884974652
15	0.4723940764
16	0.4563826559
17	0.4421213908
18	0.4271520501
19	0.412986688
20	0.4014801261
21	0.3909886115
22	0.3809735232
23	0.3730337371
24	0.3634352775
25	0.3529816202
26	0.3459798163
27	0.3401169375
28	0.3352579678
29	0.3301227732
30	0.3247075491
31	0.3171353462
32	0.3135272502
33	0.3091538717
34	0.3045454105
35	0.298267195
36	0.2947400481
37	0.2929223807
38	0.2885243822
39	0.2827121205
40	0.2782547383
41	0.2768588082
42	0.2738649305
43	0.2719271458
44	0.2662767353
45	0.2627595317
46	0.2608245907
47	0.2568671888
48	0.2524340678
49	0.2501667526
50	0.2481443753
51	0.2461372747
52	0.2440602011
53	0.2423497198
54	0.2400547618
55	0.2390546005
56	0.2372866405
57	0.2354822755
58	0.2337227143
59	0.2315627934
60	0.2298055435
61	0.2271069772
62	0.224285646
63	0.2225405102
64	0.2197642885
65	0.2179078985
66	0.2159985549
67	0.214009206
68	0.2107071241
69	0.2092078857
70	0.2085099195
71	0.2056548935
72	0.2037236293
73	0.2025386813
74	0.2013862901
75	0.1997006149
76	0.1983729543
77	0.1976036084
78	0.1961830664
79	0.1948316002
80	0.1934444179
81	0.1922885628
82	0.1900921887
83	0.1890748824
84	0.1881954529
85	0.1877074492
86	0.1865841307
87	0.1849003383
88	0.1841032358
89	0.1829301774
90	0.1818759218
91	0.1811665636
92	0.179353004
93	0.1784304456
94	0.1775269322
95	0.176576501
96	0.1759519915
97	0.1755091455
98	0.1737687006
99	0.1719405119
100	0.1699441706
101	0.1688407575
102	0.1676571957
103	0.1671132727
104	0.1667223311
105	0.1659376648
106	0.1654641193
107	0.1648209943
108	0.1643692224
109	0.1637822387
110	0.1630902409
111	0.1625244219
112	0.1619250949
113	0.1610144554
114	0.1592707014
115	0.1583505828
116	0.1580653583
117	0.1566682283
118	0.1562359563
119	0.155549542
120	0.1541140592
121	0.1535248571
122	0.1517359427
123	0.1503808945
124	0.1491476716
125	0.1485731558
126	0.1478207208
127	0.1462591477
128	0.1456614895
129	0.1451191998
130	0.1444639032
131	0.1428301606
132	0.1415070358
133	0.1409617803
134	0.1399579938
135	0.1393425077
136	0.1392122996
137	0.1377561735
138	0.1367116578
139	0.1363768689
140	0.1354499355
141	0.134634961
142	0.1341271588
143	0.133516322
144	0.1333656285
145	0.1322333776
146	0.1316331858
147	0.131345389
148	0.1304563974
149	0.130181639
150	0.1296586089
151	0.1292680566
152	0.128160307
153	0.1273815641
154	0.1272442257
155	0.1260453495
156	0.1256098069
157	0.1253551959
158	0.1249615043
159	0.1245751271
160	0.1240173271
161	0.1234502148
162	0.122850628
163	0.1222807357
164	0.1218355929
165	0.1214420101
166	0.1204725709
167	0.1202374306
168	0.1198447898
169	0.1191844183
170	0.1187638595
171	0.1180678695
172	0.1173483252
173	0.1171574994
174	0.1168756586
175	0.1162886694
176	0.1156653444
177	0.1146437491
178	0.1140842778
179	0.1137288762
180	0.113461988
181	0.1126942073
182	0.1119972446
183	0.1116410107
184	0.1111856252
185	0.1109321704
186	0.1105283959
187	0.110262816
188	0.1100001971
189	0.1093150711
190	0.1091860522
191	0.1086829612
192	0.1081613368
193	0.1076902847
194	0.1070253633
195	0.1069064356
196	0.106725506
197	0.1063212678
198	0.1061089198
199	0.1060469544
200	0.1056092846
201	0.1051880629
202	0.1047263008
203	0.1045063965
204	0.1042402615
205	0.1036527553
206	0.1031913802
207	0.1026551321
208	0.1021289797
209	0.1015315117
210	0.1011284302
211	0.1008930453
212	0.1004727883
213	0.09988637872
214	0.0997362865
215	0.09880643024
216	0.09842008708
217	0.09808336002
218	0.09782812029
219	0.0975819621
220	0.09725701676
221	0.0969895156
222	0.09663552358
223	0.09639423931
224	0.09580607631
225	0.09509486787
226	0.09472474462
227	0.0944119921
228	0.09394548158
229	0.09378852082
230	0.093389182
231	0.0929743891
232	0.09269908079
233	0.09220807794
234	0.09179290461
235	0.09156637599
236	0.09094285146
237	0.09015686783
238	0.08982805667
239	0.08955231767
240	0.08922963148
241	0.08912444511
242	0.08887335458
243	0.08845583927
244	0.08821971041
245	0.08806122619
246	0.08773480131
247	0.0874267338
248	0.08718272981
249	0.08662842103
250	0.08631202938
251	0.0860155434
252	0.08570088838
253	0.0855425416
254	0.0852196496
255	0.08468905387
256	0.08428695157
257	0.08400337337
258	0.08366419319
259	0.0835374442
260	0.08320671999
261	0.08304907272
262	0.08298039513
263	0.08255675221
264	0.08229149203
265	0.08206140559
266	0.08192406146
267	0.08185691893
268	0.08164709027
269	0.08139000396
270	0.08103734225
271	0.08076093035
272	0.080305231
273	0.08013740767
274	0.07992206014
275	0.07969724564
276	0.07942192966
277	0.07904755534
278	0.07894490441
279	0.07875655102
280	0.07859971813
281	0.07823357305
282	0.07789807026
283	0.0775050514
284	0.07731794519
285	0.07683114031
286	0.07622460199
287	0.07604691235
288	0.0756677653
289	0.07560923078
290	0.07539108704
291	0.07521778551
292	0.07497224669
293	0.07487780364
294	0.07460023322
295	0.07432798208
296	0.07397195883
297	0.07329080152
298	0.07307612958
299	0.07264270001
300	0.07249848372
301	0.07242941724
302	0.07205491901
303	0.07168361799
304	0.07151849205
305	0.07127773712
306	0.07093863497
307	0.07079073206
308	0.07073283235
309	0.07062769435
310	0.07046326996
311	0.0701151519
312	0.06995640139
313	0.06951884197
314	0.06933423174
315	0.06922211588
316	0.06901226252
317	0.06870439994
318	0.06836877577
319	0.06811250584
320	0.06790453636
321	0.06766266853
322	0.06736844939
323	0.06703106967
324	0.06696267351
325	0.0667863228
326	0.06659246101
327	0.06641951649
328	0.06629170985
329	0.06586438973
330	0.06561565665
331	0.06547113047
332	0.06525543581
333	0.06507413209
334	0.06490503783
335	0.06462779717
336	0.06435656688
337	0.06415119517
338	0.06390550558
339	0.06348334082
340	0.06302486646
341	0.06283322522
342	0.06240779432
343	0.06222633907
344	0.06213545016
345	0.06203017626
346	0.06181025491
347	0.06176113772
348	0.06162095318
349	0.06141020592
